Unnamed: 0,author,statement,source,date,target,BinaryTarget,BinaryNumTarget,Fake,Real
1,Marta Campabadal,“Netflix estrenó una película del Titan el 23 de junio”.,Facebook posts,"• June 29,",FALSE,FAKE,0,FAKE,
2,Louis Jacobson,"Says that under his presidency, the unemployment rate has “been below 4% for the longest stretch in 50 years in American history.”",Joe Biden,"June 29, 2023",mostly-true,REAL,1,,REAL
3,Jeff Cercone,"""ONU ordena despenalizar a los"" pedófilos.",Facebook posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
4,Sara Swann,"NASA warns of “internet apocalypse,” which “means they can execute the Great Reset in silence without anyone knowing it.”",Facebook posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
5,Jeff Cercone,"Video suggests COVID-19 vaccines are responsible for breast cancer deaths in women under age 45 rising from 26,000 in 2021 to 297,000 in 2023.",Instagram posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
6,Loreben Tuquero,“The day before 9/11 the Pentagon reported $2.3 trillion missing.”,Instagram posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
7,Tom Kertscher,Kevin McCarthy “announces impeachment proceeding for Biden regime.”,Facebook posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
8,Sofia Bliss-Carrascosa,Video showing someone in military gear outside a Georgia Waffle House proves that Donald Trump is president.,Facebook posts,"June 28, 2023",pants-fire,FAKE,0,FAKE,
9,Sofia Bliss-Carrascosa,“Young Americans across this country are no longer proud to be American.”,Vivek Ramaswamy,"June 28, 2023",half-true,REAL,1,,REAL
10,Grace Abels,"Atrazine in the water supply is contributing to ""sexual dysphoria"" in kids.","Robert F. Kennedy, Jr.","June 28, 2023",FALSE,FAKE,0,FAKE,
11,Marta Campabadal,Los cinco tripulantes del sumergible Titan “estan vivos”.,Facebook posts,"• June 27,",FALSE,FAKE,0,FAKE,
12,Nuria Diaz,John F. Kennedy está vivo.,Instagram posts,"• June 27,",pants-fire,FAKE,0,FAKE,
13,Maria Briceño,"""Se filtran audios de millonarios diciendo ayuda desesperados” en el sumergible Titan.",Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
14,Marta Campabadal,Fotos muestran ropa con motivos satánicos en las tiendas Target en 2023.,Facebook posts,"• June 27,",FALSE,FAKE,0,FAKE,
15,Jeff Cercone,Audio is of “the knocking they caught from the submarine” that imploded on the way to view the Titanic wreckage.,Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
16,Maria Briceño,"""Imagenes de los restos encontrados del submarino” Titan de la empresa OceanGate.",Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
17,Loreben Tuquero,“Donald Trump called up Putin today and made a new deal that will save America.”,Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
18,Tom Kertscher,Gold fringe on an American flag means “the Constitution is suspended.”,Instagram posts,"June 26, 2023",FALSE,FAKE,0,FAKE,
19,Loreben Tuquero,“Biden administration quietly DROPS all charges against Sam Bankman-Fried.”,Instagram posts,"June 26, 2023",FALSE,FAKE,0,FAKE,
20,Tom Kertscher,NASA space rockets can’t reach space.,Instagram posts,"June 26, 2023",pants-fire,FAKE,0,FAKE,
21,Tom Kertscher,Image shows Donald Trump golfing.,Jared Moskowitz,"June 26, 2023",pants-fire,FAKE,0,FAKE,
22,Louis Jacobson,"“Median income in this country is … $35,000 a year. Because of Joe Biden's inflation, the average monthly expenses have increased by $500, almost.”",Tim Scott,"June 26, 2023",half-true,REAL,1,,REAL
23,Sara Swann,"The Wall Street Journal reported that President Joe Biden knew June 18 that the Titan submersible had imploded, but he withheld the news until June 22.",Social Media,"June 23, 2023",FALSE,FAKE,0,FAKE,
24,Tom Kertscher,NASA faked footage of astronauts on the International Space Station.,Instagram posts,"June 23, 2023",FALSE,FAKE,0,FAKE,
25,Sara Swann,"World Economic Forum “calls for AI to rewrite Bible, create ‘religions that are actually correct’”",Facebook posts,"June 23, 2023",FALSE,FAKE,0,FAKE,
26,Gabrielle Settles,"Rep. Alexandria Ocasio-Cortez “faces 5 Years in Jail For FEC Crimes.""",Facebook posts,"June 23, 2023",FALSE,FAKE,0,FAKE,
27,Loreben Tuquero,"Video shows U.S. Rep. Jim Jordan, R-Ohio, telling U.S. Rep. Adam Schiff, D-Calif., that he is “not even an expert” and shutting him up.",Facebook posts,"June 23, 2023",FALSE,FAKE,0,FAKE,
